id,condition,time,Delta,Theta,Alpha,Beta,Gamma,Sum
1,mind_wander,1,562454.0,219180.0,48213.0,34292.0,14424.0,43
1,mind_wander,2,358953.0,44080.0,17638.0,9043.0,11391.0,43
1,mind_wander,3,152266.0,46675.0,12348.0,15217.0,8452.0,43
1,mind_wander,4,981464.0,42309.0,8153.0,16675.0,8831.0,43
1,mind_wander,5,201877.0,56738.0,23197.0,8572.0,2597.0,43
1,mind_wander,6,148017.0,61955.0,50018.0,74361.0,8092.0,43
1,mind_wander,7,351759.0,29211.0,27124.0,19991.0,13487.0,43
1,mind_wander,8,497379.0,164832.0,87669.0,45235.0,14233.0,43
1,mind_wander,9,117879.0,60884.0,34464.0,29643.0,13713.0,43
1,mind_wander,10,26717.0,23600.0,13362.0,22626.0,5465.0,43
1,mind_wander,11,23362.0,74468.0,62750.0,21552.0,10596.0,43
1,mind_wander,12,106210.0,57276.0,45364.0,18558.0,28749.0,43
1,mind_wander,13,121052.0,32539.0,22284.0,14685.0,14080.0,43
1,mind_wander,14,764551.0,51371.0,6807.0,19419.0,23562.0,43
1,mind_wander,15,2072823.0,134905.0,56103.0,57434.0,36266.0,43
1,mind_wander,16,1279554.0,74295.0,165255.0,98361.0,31919.0,43
1,mind_wander,17,1378126.0,52494.0,70756.0,49772.0,29423.0,43
1,mind_wander,18,58971.0,39348.0,66012.0,36547.0,11412.0,43
1,mind_wander,19,20029.0,10150.0,18544.0,17196.0,7506.0,43
1,mind_wander,20,7398.0,31145.0,17876.0,21582.0,12836.0,43
1,mind_wander,21,1237657.0,422675.0,50135.0,35397.0,17832.0,43
1,mind_wander,22,23132.0,11555.0,26714.0,25215.0,8828.0,43
1,mind_wander,23,241383.0,44875.0,50625.0,27203.0,5319.0,43
1,mind_wander,24,228476.0,14872.0,16090.0,27210.0,22471.0,43
1,mind_wander,25,9296.0,36776.0,22813.0,23613.0,11671.0,43
1,mind_wander,26,506934.0,72442.0,22083.0,15268.0,9545.0,43
1,mind_wander,27,7994.0,25445.0,11422.0,18023.0,6946.0,43
1,mind_wander,28,33938.0,30628.0,8372.0,11142.0,7449.0,43
1,mind_wander,29,10431.0,26999.0,2316.0,15871.0,8305.0,43
1,mind_wander,30,58459.0,46176.0,6134.0,13218.0,6269.0,43
1,mind_wander,31,16036.0,47664.0,58858.0,12360.0,9658.0,43
1,mind_wander,32,35864.0,40004.0,11959.0,11213.0,11463.0,43
1,mind_wander,33,247363.0,37296.0,39810.0,35725.0,5170.0,43
1,mind_wander,34,76199.0,96952.0,38454.0,21140.0,5246.0,43
1,mind_wander,35,1805224.0,49813.0,68248.0,59671.0,15760.0,43
1,mind_wander,36,424438.0,101728.0,38145.0,53457.0,51704.0,43
1,mind_wander,37,842453.0,253655.0,17710.0,12030.0,18666.0,43
1,mind_wander,38,2163270.0,203714.0,71303.0,59870.0,43077.0,43
1,mind_wander,39,1828588.0,468881.0,108841.0,94292.0,54844.0,43
1,mind_wander,40,117463.0,30385.0,47532.0,21226.0,12596.0,43
1,mind_wander,41,83746.0,32720.0,37552.0,30252.0,14625.0,43
1,mind_wander,42,34948.0,28334.0,8678.0,10929.0,6381.0,43
1,mind_wander,43,81598.0,65702.0,24868.0,32536.0,17938.0,43
1,mind_wander,44,30578.0,76946.0,18323.0,26935.0,12142.0,43
1,mind_wander,45,186990.0,10146.0,24521.0,6669.0,2082.0,43
1,mind_wander,46,496308.0,28039.0,88341.0,50256.0,11415.0,43
1,mind_wander,47,194479.0,84101.0,33423.0,19161.0,16001.0,43
1,mind_wander,48,102315.0,162380.0,73099.0,35449.0,6101.0,43
1,mind_wander,49,178558.0,56797.0,37266.0,21360.0,7626.0,43
1,mind_wander,50,289634.0,67538.0,35502.0,23318.0,7189.0,43
1,mind_wander,51,406236.0,49932.0,47209.0,49521.0,9981.0,43
1,mind_wander,52,1368533.0,105889.0,35257.0,34086.0,25544.0,43
1,mind_wander,53,93878.0,36478.0,81136.0,24670.0,5588.0,43
1,mind_wander,54,178424.0,161080.0,104552.0,20497.0,11385.0,43
1,mind_wander,55,25395.0,20636.0,71243.0,61333.0,9798.0,43
1,mind_wander,56,80272.0,43718.0,89172.0,29755.0,6914.0,43
1,mind_wander,57,469182.0,82429.0,64734.0,40461.0,4790.0,43
1,mind_wander,58,268493.0,6511.0,25638.0,5835.0,2293.0,43
1,mind_wander,59,6156.0,56880.0,92157.0,40509.0,15040.0,43
1,mind_wander,60,38961.0,18258.0,148825.0,44267.0,7879.0,43
1,mind_wander,61,48159.0,12853.0,83603.0,33905.0,8152.0,43
1,mind_wander,62,61930.0,40393.0,41029.0,32557.0,12655.0,43
1,mind_wander,63,40070.0,124242.0,100857.0,34692.0,7200.0,43
1,mind_wander,64,67751.0,43872.0,78957.0,30080.0,6302.0,43
1,mind_wander,65,45444.0,137462.0,123946.0,35281.0,16928.0,43
1,mind_wander,66,19984.0,61502.0,26737.0,33055.0,9712.0,43
1,mind_wander,67,97255.0,292938.0,71298.0,27325.0,13862.0,43
1,mind_wander,68,12772.0,38240.0,67009.0,72367.0,8265.0,43
1,mind_wander,69,29209.0,62407.0,66629.0,53106.0,19060.0,43
1,mind_wander,70,18178.0,203418.0,69571.0,24632.0,15693.0,43
1,mind_wander,71,45812.0,21812.0,77664.0,50430.0,6476.0,43
1,mind_wander,72,7870.0,34483.0,104295.0,25575.0,15229.0,43
1,mind_wander,73,27174.0,34664.0,74293.0,18308.0,7973.0,43
1,mind_wander,74,40488.0,36897.0,50171.0,22757.0,5537.0,43
1,mind_wander,75,18660.0,41059.0,132917.0,23185.0,6913.0,43
1,mind_wander,76,43086.0,98784.0,69641.0,26174.0,8735.0,43
1,mind_wander,77,496449.0,94324.0,81884.0,61040.0,9131.0,43
1,mind_wander,78,59001.0,91786.0,90930.0,64519.0,12527.0,43
1,mind_wander,79,51687.0,89789.0,163544.0,59720.0,9855.0,43
1,mind_wander,80,205718.0,149916.0,34583.0,58380.0,8538.0,43
