,id,condition,Delta,Theta,Alpha,Beta,Gamma,Sum,segment,start,end
0,1,art,-165761.6,-6552.166666666679,-3809.26666666667,-2961.399999999998,-5060.699999999999,43.0,1.0,1.0,30.0
1,1,easy,-168949.80000000002,19242.933333333334,43744.53333333333,16571.766666666666,-3329.7333333333318,38.0,1.0,1.0,30.0
2,1,flow,-248496.93333333335,-27073.90000000001,-10637.933333333334,-6764.799999999999,-6228.4333333333325,36.0,1.0,1.0,30.0
3,1,free_recall,-195958.4666666667,4973.933333333334,27369.26666666667,-1408.6333333333314,-6729.033333333333,27.0,1.0,1.0,30.0
4,1,hard,-100512.5,12125.333333333328,7037.466666666667,1206.1000000000022,-6608.566666666666,27.0,1.0,1.0,30.0
6,1,mindfulness,149077.7,89604.66666666666,50625.43333333333,38960.16666666667,-1885.9666666666653,36.0,1.0,1.0,30.0
7,2,art,23011.133333333346,17424.9,-20425.400000000005,10360.599999999997,2678.7333333333327,33.0,1.0,1.0,30.0
8,2,easy,207653.16666666666,48451.333333333336,-14298.566666666666,10100.366666666667,5172.900000000001,40.0,1.0,1.0,30.0
9,2,flow,43672.66666666667,53503.23333333333,-15319.033333333333,3859.133333333333,981.8666666666668,36.0,1.0,1.0,30.0
10,2,free_recall,86977.90000000002,5749.0,3699.5666666666657,-346.1666666666679,-1372.0333333333338,37.0,1.0,1.0,30.0
11,2,hard,69646.46666666666,41735.6,-13943.066666666666,7920.666666666666,2996.7333333333327,37.0,1.0,1.0,30.0
13,2,mindfulness,99815.13333333333,7756.9666666666635,8404.199999999997,2569.2999999999975,-497.60000000000036,40.0,1.0,1.0,30.0
14,3,art,-277692.70000000007,-103712.43333333332,-33649.63333333333,-25508.9,-26927.899999999994,42.0,1.0,1.0,30.0
15,3,easy,562209.8333333333,94856.83333333334,31771.26666666665,23122.933333333334,18865.66666666667,33.0,1.0,1.0,30.0
16,3,flow,-416682.9,-121612.1,-37908.1,-28603.066666666666,-28436.466666666664,39.0,1.0,1.0,30.0
17,3,free_recall,-52560.033333333384,-63021.3,1719.300000000003,-12880.633333333331,-14002.366666666665,39.0,1.0,1.0,30.0
18,3,hard,-430381.4666666667,-124667.06666666667,-27637.6,-25993.333333333332,-24961.766666666663,33.0,1.0,1.0,30.0
20,3,mindfulness,-110703.53333333338,-40215.73333333332,-6694.199999999997,-2476.6333333333314,-18293.866666666665,36.0,1.0,1.0,30.0
21,4,art,831013.5,130329.46666666667,58748.7,26320.13333333333,1545.1333333333314,41.0,1.0,1.0,30.0
22,4,easy,576364.7666666666,91512.33333333333,93347.50000000001,57237.49999999999,5527.766666666666,35.0,1.0,1.0,30.0
23,4,flow,170899.53333333333,27715.96666666667,-441.13333333333503,2656.1000000000004,-506.7333333333336,37.0,1.0,1.0,30.0
24,4,free_recall,357966.7,72650.86666666667,78228.16666666664,12791.000000000002,-926.1000000000004,42.0,1.0,1.0,30.0
25,4,hard,189866.16666666663,40289.46666666666,8156.699999999997,8795.699999999999,1367.666666666666,34.0,1.0,1.0,30.0
27,4,mindfulness,246614.59999999998,33254.86666666667,38893.566666666666,6109.5666666666675,3732.6000000000004,40.0,1.0,1.0,30.0
28,5,art,-103838.56666666668,6554.200000000001,-19441.533333333336,13512.899999999998,3967.0333333333338,41.0,1.0,1.0,30.0
29,5,easy,400689.26666666666,101950.56666666665,-1037.5999999999985,7183.033333333333,-932.666666666667,34.0,1.0,1.0,30.0
30,5,flow,-97357.53333333334,635.633333333335,-26622.26666666667,5404.433333333334,801.5999999999995,27.0,1.0,1.0,30.0
31,5,free_recall,135493.73333333334,45179.533333333326,-19039.5,7880.133333333328,4136.666666666667,28.0,1.0,1.0,30.0
32,5,hard,-148490.5,-4548.0333333333365,-35020.63333333333,-2066.7000000000007,-1940.5333333333338,22.0,1.0,1.0,30.0
34,5,mindfulness,306986.3,60054.36666666667,431.8333333333285,14491.333333333332,2956.3,42.0,1.0,1.0,30.0
35,6,art,54273.13333333333,16767.000000000007,5290.76666666667,4889.033333333329,-185.46666666666897,42.0,1.0,1.0,30.0
36,6,easy,186123.63333333336,68256.53333333334,22487.1,22070.366666666658,8629.466666666665,39.0,1.0,1.0,30.0
37,6,flow,141595.7,34756.8,49875.73333333334,47374.433333333334,11191.83333333333,36.0,1.0,1.0,30.0
38,6,free_recall,149762.80000000002,70415.43333333333,42465.966666666674,58119.899999999994,9790.999999999998,36.0,1.0,1.0,30.0
39,6,hard,12153.0,-5826.066666666662,43022.3,24484.766666666666,8038.300000000001,36.0,1.0,1.0,30.0
41,6,mindfulness,335737.56666666665,57045.40000000001,23486.13333333334,26747.133333333328,13295.9,41.0,1.0,1.0,30.0
42,7,art,-184612.19999999998,-36169.86666666667,-124289.73333333334,-6858.333333333336,8311.333333333334,39.0,1.0,1.0,30.0
43,7,easy,568330.3,335807.83333333326,169079.76666666666,104481.1,188065.16666666666,28.0,1.0,1.0,30.0
44,7,flow,431180.96666666673,90843.86666666667,-105335.96666666667,4752.433333333327,32503.86666666667,33.0,1.0,1.0,30.0
45,7,free_recall,-120303.29999999999,-27207.23333333333,-72485.90000000001,-4601.333333333336,-1844.1333333333332,21.0,1.0,1.0,30.0
46,7,hard,185270.63333333336,33226.23333333333,-111158.33333333334,-177.0,18446.966666666667,31.0,1.0,1.0,30.0
48,7,mindfulness,368904.50000000006,74126.33333333334,-62690.16666666667,14472.833333333328,4805.700000000001,25.0,1.0,1.0,30.0
49,8,art,-6651.03333333334,11952.766666666656,-53299.33333333333,-1281.9666666666672,-5267.733333333334,38.0,1.0,1.0,30.0
50,8,easy,476803.4666666667,160136.86666666664,-2634.9333333333343,26340.0,16883.199999999997,37.0,1.0,1.0,30.0
51,8,flow,167032.53333333333,107166.86666666667,-34468.5,3034.533333333333,-2084.300000000001,39.0,1.0,1.0,30.0
52,8,free_recall,26443.46666666666,22049.86666666667,28270.199999999983,978.7999999999956,-3720.2333333333336,33.0,1.0,1.0,30.0
